Thomas,Edison
Yogi,Berra
Abraham,Lincoln
Byron,Pulsifer
Lao,Tzu
Carl,Sandburg
Margaret,Sangster
Iris,Murdoch
Karen,Clark
Wayne,Dyer
William,Shakespeare
Publilius,Syrus
Napoleon,Hill
Donald,Trump
Benjamin,Spock
Sigmund,Freud
Benjamin,Franklin
Ella,Williams
Christopher,Reeve
Albert,Einstein
Charles,Kettering
Chinese,proverb
V.,Naipaul
John,Wooden
Haddon,Robinson
Pearl,Buck
Brian,Tracy
Dalai,Lama
Larry,Elder
Michael,Korda
James,Lowell
Murray,Gell-Mann
John,Lennon
Baltasar,Gracian
Cullen,Hightower
African,proverb
Ralph,Emerson
Maya,Angelou
Richard,Evans
Winston,Churchill
Leo,Tolstoy
Princess,Diana
John,Pierrakos
Eleanor,Roosevelt
Richard,Bach
Napoleon,Bonaparte
Bo,Jackson
Ellen,Gilchrist
Albert,Schweitzer
Carl,Jung
Lord,Herbert
Sojourner,Truth
Elizabeth,Browning
German,proverb
Bernadette,Devlin
Walt,Disney
Anais,Nin
Sun,Tzu
American,proverb
Jon,Kabat-Zinn
Gustave,Flaubert
Sylvia,Voirol
Tony,Robbins
Oscar,Wilde
Gloria,Steinem
Marcus,Aurelius
Bernard,Shaw
Mary,Bethune
Pablo,Picasso
Usman,Asif
Victor,Hugo
Robert,Heller
Mahatma,Gandhi
Joseph,Stalin
Robert,Frost
Thomas,Fuller
Elbert,Hubbard
Turkish,proverb
Hugh,Miller
John,Dryden
Mike,Ditka
Immanuel,Kant
Albert,Camus
Toni,Morrison
Helen,Keller
Paulo,Coelho
Jonathan,Kozol
Janis,Joplin
Francis,Bacon
Manuel,Puig
Jim,Rohn
Oprah,Winfrey
Anatole,France
Saint,Augustine
Maya,Lin
Blaise,Pascal
Jonas,Salk
Peter,Drucker
Luisa,Sigea
Dr.,Seuss
Jason,Fried
Babe,Ruth
Indira,Gandhi
Frederick,Douglass
Willa,Cather
Thomas,Jefferson
Thomas,Dewar
George,Patton
Benjamin,Disraeli
Horace,Friess
Haynes,Bayly
Lauren,Bacall
Frank,Herbert
Edward,Gibbon
Og,Mandino
Nikos,Kazantzakis
John,Eliot
Marie,Curie
Lawrence,Peter
Hannah,More
John,Berry
William,Yeats
Anne,Schaef
Kenneth,Patton
Kahlil,Gibran
Flora,Whittemore
Eden,Phillpotts
Mark,Twain
Dave,Weinbaum
Augustinus,Sanctus
Henri-Frederic,Amiel
Louisa,Alcott
Annie,Dillard
Man,Ray
Henry,Ford
St.,Augustine
Lily,Tomlin
Martin,Fischer
John,Adams
Calvin,Coolidge
Buckminster,Fuller
Walter,Lippmann
Bruce,Lee
Jim,Beggs
Donald,Kircher
Eckhart,Tolle
Marquis,Vauvenargues
Charlotte,Bronte
Robert,Stevenson
Andy,Warhol
Pema,Chodron
Morris,West
Franklin,Roosevelt
Edwin,Chapin
Les,Brown
Havelock,Ellis
John,Ruskin
Thomas,Hardy
Leonardo,Ruiz
Leon,Blum
Charles,Dickens
Sam,Keen
Walt,Emerson
John,Astin
Henry,Moore
George,Sheehan
Marcel,Proust
Louise,Hay
Robert,McKain
William,Saroyan
Isaac,Asimov
Naguib,Mahfouz
Anthony,Robbins
Jane,Addams
Thomas,Carlyle
Maureen,Dowd
Charles,Darwin
Christopher,Morley
Hannah,Arendt
Alan,Cohen
Aldous,Huxley
Marian,Edelman
Frank,Crane
Kathleen,Norris
Anne,Bronte
Desiderius,Erasmus
Arthur,Rubinstein
Louis,Pasteur
Sogyal,Rinpoche
Dennis,Kimbro
William,Penn
Robert,Lynd
Robert,Fulghum
Arthur,Schopenhauer
Andre,Gide
Sai,Baba
Tom,Lehrer
Alfred,Sheinwold
Sri,Chinmoy
Sydney,Smith
Lloyd,Jones
Vista,Kelly
Ben,Stein
